Query	data
 How would a longitudinal study help the Welsh government understand the data?	{"Subject1":"longitudinal study","What-Was-Said-About-the-Subject":"help the Welsh government understand the data"}
 What is the difference between a cross-sectional study and a longitudinal study?	{"Subject1":"cross-sectional study","Subject2":"longitudinal study","What-Was-Said-About-the-Subject":"difference"}
 What is the difference between a cross-sectional study and a longitudinal study?	{"Subject1":"cross-sectional study","Subject2":"longitudinal study","What-Was-Said-About-the-Subject":"difference"}
 What data does Dr. Frank Atherton think would be helpful for Wales?	{"Person":"Dr. Frank Atherton","Subject1":"Wales","What-Was-Said-About-the-Subject":"helpful"}
 What data does Dr. Frank Atherton think would be helpful for Wales?	{"Subject1":"data","Person":"Dr. Frank Atherton","What-Was-Said-About-the-Subject":"Dr. Frank Atherton think would be helpful for Wales"}
 What are the input and output of the Bayes-net?	{"Subject1":"Bayes-net","What-Was-Said-About-the-Subject":"input and output"}
 What are the input and output of the Bayes-net?	{"Subject1":"Bayes-net","What-Was-Said-About-the-Subject":"input and output"}
 What does the commitment to embedding physical activity at an early stage in primary school education mean?	{"Subject1":"primary school education","What-Was-Said-About-the-Subject":"commitment to embedding physical activity at an early stage"}
 What does the commitment to embedding physical activity at an early stage in primary school education mean?	{"Subject1":"primary school education","What-Was-Said-About-the-Subject":"commitment to embedding physical activity"}
 What are the user requirements for the TV remote control?	{"Subject1":"TV remote control","What-Was-Said-About-the-Subject":"user requirements"}
 What are the user requirements for the TV remote control?	{"Subject1":"TV remote control","What-Was-Said-About-the-Subject":"user requirements"}
 Why does Dr. Atherton not think a target is needed?	{"Subject1":"target","What-Was-Said-About-the-Subject":"Dr. Atherton not think","Person":"Dr. Atherton"}
 Why does Dr. Atherton not think a target is needed?	{"Person":"Dr. Atherton","Subject1":"target","What-Was-Said-About-the-Subject":"Dr. Atherton not think"}
 What is the approach to protecting the student interests in higher education?	{"Subject1":"higher education","What-Was-Said-About-the-Subject":"approach to protecting the student interests"}
 What is the approach to protecting the student interests in higher education?	{"Subject1":"higher education","What-Was-Said-About-the-Subject":"approach to protecting the student interests"}
 What are the potential difficulties after Brexit for the continuation and enhancement of researcher collaborations and networks?	{"Subject1":"researcher collaborations and networks","What-Was-Said-About-the-Subject":"potential difficulties after Brexit for the continuation and enhancement"}
 What are the potential difficulties after Brexit for the continuation and enhancement of researcher collaborations and networks?	{"Subject1":"the continuation and enhancement of researcher collaborations and networks","What-Was-Said-About-the-Subject":"potential difficulties after Brexit"}
 What is the main concern of the designer?	{"Subject1":"designer","What-Was-Said-About-the-Subject":"main concern"}
 What is the main concern of the designer?	{"Subject1":"designer","Person":"designer","What-Was-Said-About-the-Subject":"main concern"}
 What was the Minister's response to Dawn's questions about effective planning tools?	{"Subject1":"effective planning tools","What-Was-Said-About-the-Subject":"Minister's response to Dawn's questions","Person":"Minister"}
 What was the Minister's response to Dawn's questions about effective planning tools?	{"Subject1":"effective planning tools","What-Was-Said-About-the-Subject":"Minister's response to Dawn's questions","Person":"Minister"}
 What does Bethan Owen think is the most difficult challenge facing higher education institutions in the UK?	{"Subject1":"higher education institutions","What-Was-Said-About-the-Subject":"most difficult challenge facing","Person":"Bethan Owen"}
 What does Bethan Owen think is the most difficult challenge facing higher education institutions in the UK?	{"Person":"Bethan Owen","Subject1":"higher education institutions in the UK","What-Was-Said-About-the-Subject":"most difficult challenge"}
 "Would expanding the longitudinal section of the tests help Wales?"	{"Subject1":"Wales","What-Was-Said-About-the-Subject":"expanding the longitudinal section of the tests"}
 "Would expanding the longitudinal section of the tests help Wales?"	{"Subject1":"longitudinal section of the tests","What-Was-Said-About-the-Subject":"expanding"}
 What is the team's plan for the excess money?	{"Subject1":"excess money","What-Was-Said-About-the-Subject":"team's plan"}
 What is the team's plan for the excess money?	{"Subject1":"excess money","What-Was-Said-About-the-Subject":"team's plan"}
 What aspects make Wales safer than England for international students?	{"Subject1":"international students","What-Was-Said-About-the-Subject":"aspects make Wales safer than England"}
 What aspects make Wales safer than England for international students?	{"Subject1":"international students","What-Was-Said-About-the-Subject":"aspects make Wales safer than England"}
 What were some of the challenges the postdoc encountered working with the recordings?	{"Subject1":"recordings","What-Was-Said-About-the-Subject":"some of the challenges","Person":"postdoc"}
 What were some of the challenges the postdoc encountered working with the recordings?	{"What-Was-Said-About-the-Subject":"challenges the postdoc encountered","Subject1":"recordings"}
 What does Dr. Atherton think about the use of targets in the final strategy?	{"Person":"Dr. Atherton","What-Was-Said-About-the-Subject":"Dr. Atherton think about the use of targets","Subject1":"final strategy"}
 What does Dr. Atherton think about the use of targets in the final strategy?	{"Subject1":"final strategy","What-Was-Said-About-the-Subject":"Dr. Atherton think about the use of targets","Person":"Dr. Atherton"}
 What does Mark Reckless AM think the differences are between Estyn's inspections and Ofsted inspections?	{"Person":"Mark Reckless AM","What-Was-Said-About-the-Subject":"differences","Subject1":"Estyn's inspections","Subject2":"Ofsted inspections"}
 What does Mark Reckless AM think the differences are between Estyn's inspections and Ofsted inspections?	{"Subject1":"Estyn's inspections","Subject2":"Ofsted inspections","What-Was-Said-About-the-Subject":"differences","Person":"Mark Reckless AM"}
 What does Brexit mean for institutions in Wales?	{"Subject1":"Brexit","What-Was-Said-About-the-Subject":"mean for institutions in Wales"}
 What does Brexit mean for institutions in Wales?	{"Subject1":"institutions in Wales"}
 What other steps does the Welsh Government take to ensure that Welsh higher education institutions are effectively planning for Brexit?	{"Subject1":"Welsh higher education institutions are effectively planning for Brexit","What-Was-Said-About-the-Subject":"other steps does the Welsh Government take to ensure"}
 What other steps does the Welsh Government take to ensure that Welsh higher education institutions are effectively planning for Brexit?	{"Subject1":"Welsh Government","What-Was-Said-About-the-Subject":"Welsh higher education institutions are effectively planning for Brexit"}
 What are the benefits of having an independent body inspect schools and other institutions in Wales?	{"Subject1":"independent body inspect schools","Subject2":"other institutions","What-Was-Said-About-the-Subject":"benefits"}
 What are the benefits of having an independent body inspect schools and other institutions in Wales?	{"Subject1":"schools and other institutions","What-Was-Said-About-the-Subject":"benefits of having an independent body inspect"}
